open_time,open,high,low,close,volume
2025-09-25 22:00:00,109420.0,109685.72,108765.0,108994.49,1326.80806
2025-09-26 00:00:00,108994.49,109762.59,108809.24,109680.4,1320.91002
2025-09-26 02:00:00,109680.39,109798.84,109293.25,109580.01,1002.28572
2025-09-26 04:00:00,109580.0,109625.94,109085.78,109252.79,687.10288
2025-09-26 06:00:00,109252.79,109624.16,108913.0,109320.02,2368.79516
2025-09-26 08:00:00,109320.02,109690.98,109304.72,109568.72,1017.11724
2025-09-26 10:00:00,109568.72,109568.72,108620.07,109133.5,1658.3449
2025-09-26 12:00:00,109133.5,109779.73,108824.82,109669.73,1855.35647
2025-09-26 14:00:00,109669.72,109779.73,108764.76,109027.78,1386.56793
2025-09-26 16:00:00,109027.79,110000.0,109027.78,109899.99,918.39123
2025-09-26 18:00:00,109900.0,110300.0,109030.41,109172.2,1175.03736
2025-09-26 20:00:00,109172.21,109530.0,109087.57,109469.07,456.13013
2025-09-26 22:00:00,109469.07,109687.69,109348.0,109643.46,396.97687
2025-09-27 00:00:00,109643.46,109660.88,109330.08,109431.92,498.76387
2025-09-27 02:00:00,109431.92,109743.91,109324.42,109553.77,542.89532
2025-09-27 04:00:00,109553.77,109742.27,109514.63,109635.72,377.05664
2025-09-27 06:00:00,109635.73,109635.73,109332.02,109411.2,531.78452
2025-09-27 08:00:00,109411.19,109411.2,109064.4,109292.73,789.2108
2025-09-27 10:00:00,109292.74,109477.69,109256.07,109310.21,567.07949
2025-09-27 12:00:00,109310.22,109477.59,109227.14,109306.61,672.8486
2025-09-27 14:00:00,109306.61,109427.4,109193.0,109402.24,478.53483
2025-09-27 16:00:00,109402.25,109427.76,109243.89,109382.47,359.71424
2025-09-27 18:00:00,109382.48,109440.0,109345.11,109424.2,231.10435
2025-09-27 20:00:00,109424.21,109483.55,109362.72,109474.99,179.88027
2025-09-27 22:00:00,109474.98,109699.98,109461.53,109635.85,272.9135
2025-09-28 00:00:00,109635.85,109787.75,109325.05,109353.67,504.54065
2025-09-28 02:00:00,109353.68,109535.0,109353.67,109436.0,317.60762
2025-09-28 04:00:00,109436.0,109486.1,109356.42,109356.43,223.36591
2025-09-28 06:00:00,109356.44,109537.8,109260.0,109513.06,345.68485
2025-09-28 08:00:00,109513.06,109585.39,109323.88,109519.42,425.91693
2025-09-28 10:00:00,109519.43,109519.43,109250.0,109369.02,437.01768
2025-09-28 12:00:00,109369.02,109668.98,109189.99,109639.0,640.16082
2025-09-28 14:00:00,109639.0,110037.93,109502.56,110037.93,709.04209
2025-09-28 16:00:00,110037.92,110393.63,110008.54,110203.52,891.03528
2025-09-28 18:00:00,110203.53,110388.46,110060.88,110337.6,324.74166
2025-09-28 20:00:00,110337.61,110945.0,110294.78,110833.99,785.61611
2025-09-28 22:00:00,110833.99,112350.0,110833.99,112163.95,1937.602
2025-09-29 00:00:00,112163.96,112310.0,111721.79,111855.3,1365.80556
2025-09-29 02:00:00,111855.3,112022.27,111588.07,111857.51,931.66806
2025-09-29 04:00:00,111857.51,111904.34,111575.38,111753.34,627.53483
2025-09-29 06:00:00,111753.34,111865.96,111560.65,111865.95,1203.82533
2025-09-29 08:00:00,111865.96,112421.99,111865.95,112110.9,1248.20801
2025-09-29 10:00:00,112110.9,112225.0,111923.13,112100.0,878.03394
2025-09-29 12:00:00,112100.0,113490.0,111901.26,113227.29,2415.30062
2025-09-29 14:00:00,113227.29,114231.56,113220.21,113815.57,2649.4979
2025-09-29 16:00:00,113815.57,114151.0,113449.74,114043.91,1571.57936
2025-09-29 18:00:00,114043.92,114390.93,113848.63,114265.55,1144.82589
2025-09-29 20:00:00,114265.56,114400.0,114095.36,114176.73,715.71501
2025-09-29 22:00:00,114176.72,114395.92,114020.0,114311.96,789.12554
2025-09-30 00:00:00,114311.97,114792.0,114040.35,114500.31,1720.10982
2025-09-30 02:00:00,114500.32,114583.19,114303.06,114376.39,774.27136
2025-09-30 04:00:00,114376.39,114376.4,113827.24,113904.0,1053.74659
2025-09-30 06:00:00,113904.0,114084.22,113585.0,113699.23,1273.07458
2025-09-30 08:00:00,113699.24,113741.37,112731.41,112781.97,1648.51906
2025-09-30 10:00:00,112781.97,113135.44,112656.27,113055.01,1220.77266
2025-09-30 12:00:00,113055.0,113677.23,112866.11,113404.53,1171.24139
2025-09-30 14:00:00,113404.53,113630.13,112900.0,113106.16,1669.04522
2025-09-30 16:00:00,113106.15,113503.99,112800.0,113246.11,1132.36128
2025-09-30 18:00:00,113246.12,114563.46,113177.37,114359.99,1403.52633
2025-09-30 20:00:00,114359.99,114754.87,114110.09,114161.0,1360.11584
2025-09-30 22:00:00,114161.0,114356.98,113765.42,114048.93,617.3722
2025-10-01 00:00:00,114048.94,114550.0,113966.67,114549.99,1031.84376
2025-10-01 02:00:00,114549.99,114551.76,114096.58,114176.92,1010.7274
2025-10-01 04:00:00,114176.93,114740.0,114151.0,114569.84,1157.64847
2025-10-01 06:00:00,114569.84,114624.3,114224.88,114539.02,838.78517
2025-10-01 08:00:00,114539.02,116591.8,114484.43,116412.1,4025.80373
2025-10-01 10:00:00,116412.1,116795.85,116203.5,116789.58,1192.12663
2025-10-01 12:00:00,116789.57,116887.0,116363.38,116806.96,1878.79736
2025-10-01 14:00:00,116806.96,117649.99,116704.74,117423.73,2639.54864
2025-10-01 16:00:00,117423.73,118199.0,116724.56,116768.07,2802.7689
2025-10-01 18:00:00,116768.08,117623.59,116768.07,117439.53,1011.55426
2025-10-01 20:00:00,117439.53,117579.43,117163.25,117554.96,691.74587
2025-10-01 22:00:00,117554.95,118649.1,117554.95,118594.99,1755.04497
2025-10-02 00:00:00,118594.99,119456.92,118368.05,118617.37,2947.34075
2025-10-02 02:00:00,118617.37,119058.82,118483.39,118733.99,1240.007
2025-10-02 04:00:00,118733.99,118930.29,118279.31,118377.34,895.27292
2025-10-02 06:00:00,118377.34,118678.98,118295.87,118489.76,877.09146
2025-10-02 08:00:00,118489.76,118850.0,118354.61,118849.99,652.04257
2025-10-02 10:00:00,118849.99,118926.49,118537.1,118765.73,807.96588
2025-10-02 12:00:00,118765.72,119761.36,118742.91,119621.2,2455.49322
2025-10-02 14:00:00,119621.19,119910.79,118516.39,119910.78,2643.67304
2025-10-02 16:00:00,119910.78,120300.0,119359.63,119917.52,2196.26668
2025-10-02 18:00:00,119917.52,121022.07,119907.01,120836.49,2672.84473
2025-10-02 20:00:00,120836.49,120914.0,120141.72,120150.1,1379.62692
2025-10-02 22:00:00,120150.1,120680.35,120072.46,120529.35,903.20986
2025-10-03 00:00:00,120529.35,120550.9,119820.0,119875.72,1314.0441
2025-10-03 02:00:00,119875.72,120472.12,119866.18,120225.89,954.61113
2025-10-03 04:00:00,120225.88,120324.53,119746.81,119920.4,744.05776
2025-10-03 06:00:00,119920.41,120075.62,119610.59,119640.21,1549.85747
2025-10-03 08:00:00,119640.22,120365.35,119248.3,120300.0,2441.52012
